DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP,effective stress
24.3512,59.9494,1.8203,1.4952,0.251782437,10.119,61.082,1.039,434399.5957,1949,432450.5957
24.5036,61.8859,1.8134,1.4941,0.27935734,10.0659,56.3414,1.045,435461.3168,1948,433513.3168
24.656,62.9452,1.8022,1.4936,0.294441304,9.9977,60.8015,1.0415,435463.4234,1951,433512.4234
24.8084,65.1982,1.7967,1.495,0.326523028,9.896,60.7564,1.0143,436817.8723,1948.002,434869.8703
24.9608,64.2355,1.787,1.4987,0.312814605,9.7068,63.4039,1.0259,437128.5061,1947,435181.5061
25.1132,63.8111,1.7891,1.5027,0.306771337,9.5419,59.8229,1.03,440314.256,1949,438365.256
25.2656,64.3255,1.7931,1.5052,0.314096165,9.5415,57.2288,1.028,443976.7241,1948.998,442027.7261
25.418,64.7569,1.8153,1.5058,0.320239111,9.5954,59.4759,0.9979,452184.6949,1946,450238.6949
25.5704,65.3643,1.83,1.506,0.328888218,9.6841,58.7303,1.0023,458579.5536,1948,456631.5536
25.7228,64.7707,1.8395,1.5091,0.320435617,9.7539,56.0053,1.0043,463707.4879,1946,461761.4879
25.8752,64.0105,1.8509,1.5141,0.309610705,9.8473,56.1213,1.0058,469345.5953,1947.01,467398.5853
26.0276,62.7221,1.8662,1.5141,0.291264458,9.917,58.6603,0.9671,476012.5298,1951,474061.5298
26.18,62.5534,1.8775,1.5101,0.288862245,9.9853,58.4477,1.0093,481698.91,1948,479750.91
26.3324,61.7996,1.8764,1.5069,0.278128466,10.0638,54.3365,1.0008,484219.1305,1949,482270.1305
26.4848,64.0018,1.869,1.5054,0.309486821,10.1056,53.5828,0.9879,485100.8938,1947.004,483153.8898
26.6372,61.5934,1.8576,1.5051,0.27519227,10.1019,57.0457,1.0079,484916.3747,1948.004,482968.3707
26.7896,62.3705,1.8462,1.5061,0.28625783,10.2455,58.8484,1.0027,484697.8033,1947,482750.8033
26.942,61.4172,1.8356,1.51,0.27268326,10.3829,54.6851,0.9915,484656.405,1948,482708.405
27.0944,61.6125,1.8421,1.5149,0.275464245,10.4752,55.0603,0.9985,489123.8236,1948,487175.8236
27.2468,61.7447,1.8435,1.5162,0.277346715,10.3952,55.7733,0.9991,492248.8628,1947,490301.8628
27.3992,61.3269,1.8364,1.5146,0.271397427,10.3917,54.1313,0.9865,493095.7306,1949,491146.7306
27.5516,63.0197,1.8255,1.514,0.295502151,10.3428,55.7928,1.0142,492895.3688,1949,490946.3688
27.704,61.9457,1.8128,1.5139,0.280208866,10.2138,58.5919,1.0082,492173.7498,1949,490224.7498
27.8564,62.6505,1.8266,1.5128,0.290244906,10.0841,58.9061,0.9702,498648.5024,1949,496699.5024
28.0088,62.0566,1.846,1.5115,0.281788033,10.1638,56.5541,0.9901,506701.599,1952,504749.599
28.1612,65.1089,1.8918,1.51,0.325251435,10.3948,50.4496,0.9961,522098.51,1949,520149.51
28.3136,66.3501,1.8859,1.5074,0.342925574,10.6473,54.0893,0.9804,523286.8588,1951,521335.8588
28.466,66.9177,1.864,1.5039,0.351007947,10.8261,53.0292,1.0084,519994.1152,1950.006,518044.1092
28.6184,66.5658,1.7979,1.5014,0.345997047,10.7611,54.7942,0.9578,504239.6093,1952,502287.6093
28.7708,71.0682,1.7871,1.5003,0.410109232,10.6893,53.7586,0.9778,503879.7075,1952,501927.7075
28.9232,79.6641,1.7669,1.5002,0.532511046,10.4545,59.7705,0.9512,500823.1404,1951,498872.1404
29.0756,87.1198,1.7831,1.5006,0.638676917,10.2253,59.2663,0.9281,508078.0831,1953,506125.0831
29.228,90.5717,1.7785,1.5008,0.687830447,9.9192,59.3759,0.9559,509423.5804,1953,507470.5804
29.3804,91.4809,1.7889,1.5007,0.700777053,9.8246,65.4674,0.9867,515074.2561,1952.002,513122.2541
29.5328,90.7703,1.7904,1.5005,0.690658423,9.8222,59.5773,0.9649,518180.1462,1954,516226.1462
29.6852,88.141,1.7826,1.5001,0.653218354,9.8258,61.916,0.9538,518585.0077,1953,516632.0077
29.8376,87.6254,1.7762,1.4997,0.645876438,9.8747,59.7509,0.9543,519375.9422,1956,517419.9422
29.99,86.444,1.7759,1.4993,0.629053824,9.9808,60.048,0.9828,521940.5618,1952.002,519988.5598
30.1424,88.0575,1.7832,1.4985,0.652029351,10.1734,63.3125,0.9626,526749.2913,1954.998,524794.2933
